"","x","y","z"
"X1301",0.63768115942029,0.492753623188406,0.0776349223051877
"X1824",0.246376811594203,0.855072463768116,0.00416467771341831
"X2806",0.0869565217391304,0.985507246376812,0.000148986113046475
"X4448",0.623188405797102,0.536231884057971,0.0963014938698962
"X988",0.710144927536232,0.739130434782609,0.0580015758546389
"X4398",0.333333333333333,0.927536231884058,0.00215712497643512
"X4624",0.101449275362319,0.0869565217391305,0.000882082342897306
"X3234",0.579710144927536,0.579710144927536,0.074603631496872
"X3078",0.91304347826087,0.652173913043478,0.00509615707912913
"X303",0.0289855072463768,0.739130434782609,0.000855755588420789
"X1008",0.304347826086957,0.434782608695652,0.0950869637850244
"X864",0.072463768115942,0.782608695652174,0.00156273553982309
"X3359",0.36231884057971,0.376811594202899,0.0927638647182342
"X1878",0.202898550724638,0.173913043478261,0.00668138583973562
"X3762",0.507246376811594,0.956521739130435,0.00259442349570161
"X2432",0.144927536231884,0.376811594202899,0.0252627875937925
"X3505",0.115942028985507,0.681159420289855,0.00624990554178985
"X4844",0.739130434782609,0.27536231884058,0.0625035679004404
"X1856",0.869565217391304,0,0.00048517460505339
"X3795",0.971014492753623,0.391304347826087,0.00312692065959582
"X4562",0.971014492753623,0.0869565217391305,0.000428536497522649
"X1036",0.391304347826087,0.985507246376812,0.00117022352473196
"X3179",0.884057971014493,0.463768115942029,0.0185868315938405
"X613",0.898550724637681,0.927536231884058,0.00052667724118474
"X1303",0.739130434782609,1,0.000578090561497496
"X1883",0.0144927536231884,0.681159420289855,0.00175311532990443
"X66",0.449275362318841,0.550724637681159,0.0864906177130403
"X1864",0.434782608695652,0.0724637681159421,0.00742240746249797
"X4238",0.507246376811594,0.884057971014493,0.00740604333574975
"X1658",0.91304347826087,0.521739130434783,0.0121862519095058
"X2348",0.246376811594203,0.434782608695652,0.0841112201040526
"X2920",0.695652173913044,0.144927536231884,0.0136662432632128
"X2403",0.869565217391304,0.318840579710145,0.0123306917234143
"X907",0.681159420289855,0.173913043478261,0.0325110043984317
"X4026",0.985507246376812,0.231884057971014,0.00137494316766627
"X3253",0.463768115942029,0.826086956521739,0.0287399412117022
"X3864",0.652173913043478,0.420289855072464,0.0932480305873195
"X525",0.72463768115942,0.855072463768116,0.00513852095365015
"X3519",0.536231884057971,0.0434782608695652,0.00404336412315663
"X2000",0.898550724637681,0.405797101449275,0.0133905072578007
"X3990",0.652173913043478,0.608695652173913,0.0890993658640985
"X3145",0.391304347826087,0.753623188405797,0.0805858126858182
"X3804",0.521739130434783,0.623188405797101,0.0834542843210399
"X2687",0.521739130434783,0.550724637681159,0.0769166460995269
"X2573",0.072463768115942,0.579710144927536,0.00736123262568157
"X3833",0.840579710144928,0.463768115942029,0.0741006503861028
"X114",1,0.391304347826087,0.00206077883808714
"X2316",0.0289855072463768,0.666666666666667,0.00225762982625736
"X3554",0.0869565217391304,0.420289855072464,0.00796567848784409
"X3361",0.217391304347826,0.782608695652174,0.00610179598508608
"X1301.1",0.63768115942029,0.492753623188406,0.070157329332063
"X1824.1",0.246376811594203,0.855072463768116,0.00341342509478561
"X2806.1",0.0869565217391304,0.985507246376812,0.000148793921518853
"X4448.1",0.623188405797102,0.536231884057971,0.0938481138732014
