"","x","y","z"
"X1301",0.63768115942029,0.492753623188406,0.0856149716810145
"X1824",0.246376811594203,0.855072463768116,0.00366170348764933
"X2806",0.0869565217391304,0.985507246376812,0.000156187166809307
"X4448",0.623188405797102,0.536231884057971,0.0851043478304152
"X988",0.710144927536232,0.739130434782609,0.0544159218716451
"X4398",0.333333333333333,0.927536231884058,0.00241586153843894
"X4624",0.101449275362319,0.0869565217391305,0.00093233387332081
"X3234",0.579710144927536,0.579710144927536,0.085725564636609
"X3078",0.91304347826087,0.652173913043478,0.00500102091519781
"X303",0.0289855072463768,0.739130434782609,0.00132461415519285
"X1008",0.304347826086957,0.434782608695652,0.0848127656936448
"X864",0.072463768115942,0.782608695652174,0.00151856299919447
"X3359",0.36231884057971,0.376811594202899,0.0857751548969486
"X1878",0.202898550724638,0.173913043478261,0.00683331825640551
"X3762",0.507246376811594,0.956521739130435,0.00226887789707166
"X2432",0.144927536231884,0.376811594202899,0.0247926954653702
"X3505",0.115942028985507,0.681159420289855,0.00693016148942902
"X4844",0.739130434782609,0.27536231884058,0.0629968405597035
"X1856",0.869565217391304,0,0.000445084027999473
"X3795",0.971014492753623,0.391304347826087,0.00365555174717621
"X4562",0.971014492753623,0.0869565217391305,0.000431621603371353
"X1036",0.391304347826087,0.985507246376812,0.00127144913505244
"X3179",0.884057971014493,0.463768115942029,0.0219843852992315
"X613",0.898550724637681,0.927536231884058,0.000435407178228728
"X1303",0.739130434782609,1,0.000568575669476966
"X1883",0.0144927536231884,0.681159420289855,0.00166739478802554
"X66",0.449275362318841,0.550724637681159,0.0854195022450326
"X1864",0.434782608695652,0.0724637681159421,0.00881651731502069
"X4238",0.507246376811594,0.884057971014493,0.00735234127612867
"X1658",0.91304347826087,0.521739130434783,0.0107389648999722
"X2348",0.246376811594203,0.434782608695652,0.0739413324907137
"X2920",0.695652173913044,0.144927536231884,0.014411431478072
"X2403",0.869565217391304,0.318840579710145,0.01070760407124
"X907",0.681159420289855,0.173913043478261,0.0282725879906056
"X4026",0.985507246376812,0.231884057971014,0.00127137951996715
"X3253",0.463768115942029,0.826086956521739,0.0246363852908256
"X3864",0.652173913043478,0.420289855072464,0.0846557381517595
"X525",0.72463768115942,0.855072463768116,0.00488120522040057
"X3519",0.536231884057971,0.0434782608695652,0.00501965487218661
"X2000",0.898550724637681,0.405797101449275,0.012528179791946
"X3990",0.652173913043478,0.608695652173913,0.0884244098063799
"X3145",0.391304347826087,0.753623188405797,0.0879517700823918
"X3804",0.521739130434783,0.623188405797101,0.0847267707937866
"X2687",0.521739130434783,0.550724637681159,0.0854269993832444
"X2573",0.072463768115942,0.579710144927536,0.00656280204174333
"X3833",0.840579710144928,0.463768115942029,0.075396223576574
"X114",1,0.391304347826087,0.00237799367815803
"X2316",0.0289855072463768,0.666666666666667,0.00222611675719346
"X3554",0.0869565217391304,0.420289855072464,0.00914692212379151
"X3361",0.217391304347826,0.782608695652174,0.00703984651868312
"X783",0.304347826086957,0.101449275362319,0.00671880243207729
"X4755",0.797101449275362,0.72463768115942,0.0143393459060434
"X3216",0.0144927536231884,0.304347826086957,0.00207961310162532
"X2848",0.492753623188406,0.246376811594203,0.0873440559844314
"X4470",0.608695652173913,0.927536231884058,0.0028845428763032
"X1592",0.304347826086957,0.63768115942029,0.0739533582228915
"X512",0.565217391304348,0.333333333333333,0.0852011490091362
"X3143",0.971014492753623,0.782608695652174,0.000905301266596059
"X1382",0.217391304347826,0,0.000886568881971523
"X805",0.0144927536231884,0.101449275362319,0.000421660916867985
"X4426",0.159420289855072,0.927536231884058,0.000725171939635079
"X3912",0.840579710144928,0.115942028985507,0.00238462873884592
"X888",0.260869565217391,0.27536231884058,0.0458755736744496
"X1190",0.840579710144928,0.898550724637681,0.00106645887238924
"X299",0.753623188405797,0.536231884057971,0.0763800087392102
"X9",0.36231884057971,0.550724637681159,0.0861852284297368
"X4692",0.608695652173913,0.144927536231884,0.0203192644611629
"X4885",1,0.594202898550725,0.00206708791224728
"X4438",0.420289855072464,0.231884057971014,0.121753608099303
"X2314",0.797101449275362,0.246376811594203,0.0180248977224306
"X648",0.652173913043478,0.811594202898551,0.0152229650549987
"X3726",0.101449275362319,0.231884057971014,0.00407275337701181
"X3167",0.884057971014493,0.811594202898551,0.00186658724921788
"X548",0.492753623188406,0.376811594202899,0.0854556693938233
"X4276",0.550724637681159,0.797101449275362,0.0267042325341072
"X4170",0.217391304347826,1,0.000429712335616746
"X2306",0.0144927536231884,0.434782608695652,0.00307759280711309
"X4264",0.811594202898551,0.608695652173913,0.0268731324757725
"X618",0.434782608695652,0.681159420289855,0.0963104950491441
"X1297",0.0434782608695652,0.927536231884058,0.000224298704568491
"X2115",0.0434782608695652,0,0.000166442936556888
"X4804",0.246376811594203,0.565217391304348,0.123897263665382
"X3837",0.63768115942029,0.0144927536231884,0.00240740777033097
"X4865",0.304347826086957,0.0144927536231884,0.00190342921709522
"X2673",0.768115942028985,0.391304347826087,0.0610660630887729
"X2779",0.159420289855072,0.478260869565217,0.0276189505605306
"X51",0.478260869565217,0.159420289855072,0.0535897234226349
"X2137",0.623188405797102,0.710144927536232,0.0783529904762052
"X2965",0.898550724637681,0.231884057971014,0.00381148525510493
"X1839",0.623188405797102,0.260869565217391,0.0913225933771817
"X1137",0.318840579710145,0.782608695652174,0.0191513778152227
"X1292",0.27536231884058,0.173913043478261,0.0138007783596202
"X4800",0.420289855072464,0.927536231884058,0.00339119161696059
"X4166",0.782608695652174,0.0434782608695652,0.0016017669545616
"X2969",0.202898550724638,0.652173913043478,0.0413930441159352
"X3434",0.550724637681159,0.420289855072464,0.0854411296508745
"X4747",0.884057971014493,1,0.000174687876525815
"X186",0.144927536231884,0.782608695652174,0.00337042699828724
"X505",0.289855072463768,1,0.000674946718955828
"X3089",0.449275362318841,0.0144927536231884,0.00326664121595217
"X4465",0.768115942028985,0.652173913043478,0.0387529889877277
"X2042",0.144927536231884,0,0.000497613124300175
"X3251",0.0144927536231884,1,1.58346595698098e-05
"X1028",0.434782608695652,0.449275362318841,0.0854391537786026
"X551",0.188405797101449,0.0869565217391305,0.00209139849627073
"X3750",0.565217391304348,0.985507246376812,0.00135799834069297
"X3597",0.956521739130435,0.289855072463768,0.00269510844198918
"X189",0.376811594202899,0.0289855072463768,0.00341939036757257
"X1470",0.0434782608695652,0.173913043478261,0.00118121075914438
"X720",0.927536231884058,0.0289855072463768,0.000360779880676426
"X1799",0.376811594202899,0.202898550724638,0.0677515077222174
"X698",0.739130434782609,0.173913043478261,0.0167194458826942
"X2570",1,0.681159420289855,0.00132018106702703
"X1507",0.36231884057971,0.855072463768116,0.0091651898891297
"X482",0.0434782608695652,0.536231884057971,0.00459770026574911
"X4061",0.782608695652174,0.985507246376812,0.00053142457044165
"X1092",0.27536231884058,0.347826086956522,0.113225921181845
"X2020",0,0.797101449275362,0.000568508359154164
"X2805",0.797101449275362,0.840579710144928,0.00327401554163379
"X3550",0.115942028985507,0.855072463768116,0.00113974899922725
"X222",0.91304347826087,0.72463768115942,0.00294477650641573
"X2386",0.507246376811594,0.753623188405797,0.062594967719584
"X1433",0.63768115942029,0.347826086956522,0.0873735409441347
"X4513",0.159420289855072,0.289855072463768,0.0180135168953935
"X2843",1,0.536231884057971,0.00251418109468983
"X2369",0.710144927536232,0.478260869565217,0.0918855806710951
"X3156",0.0434782608695652,0.36231884057971,0.00409068878603147
"X1759",0.347826086956522,0.710144927536232,0.0548387378776656
"X1258",0.405797101449275,0.608695652173913,0.08429224430229
"X3652",0.956521739130435,0.869565217391304,0.000462927966203591
"X1562",0.246376811594203,0.927536231884058,0.00141347484981847
"X614",0.739130434782609,0.927536231884058,0.00156747245717592
"X2646",0.884057971014493,0.0724637681159421,0.000939692036182333
"X3193",0.405797101449275,0.318840579710145,0.0840123885804624
"X2506",0.971014492753623,0.173913043478261,0.000977691148052383
"X2850",0.826086956521739,0.536231884057971,0.0454644518488834
"X289",0.130434782608696,0.173913043478261,0.00318417348606499
"X2339",0.0869565217391304,0.492753623188406,0.0092895884427089
"X3574",0.579710144927536,0.855072463768116,0.00971308154208156
"X1023",0.811594202898551,0.304347826086957,0.0216163997541783
"X4869",0.202898550724638,0.710144927536232,0.015519592323155
"X3932",0.855072463768116,0.681159420289855,0.0089516476609426
"X4551",0.521739130434783,0.492753623188406,0.0854367137660816
"X4814",0.927536231884058,1,9.6037240284866e-05
"X2441",0.695652173913044,0.36231884057971,0.0773978321838662
"X2588",0.405797101449275,0.115942028985507,0.0196878625469743
"X3872",0.666666666666667,0.0724637681159421,0.00506306528709578
"X3562",0.956521739130435,0.463768115942029,0.0054511240930569
"X2003",0.202898550724638,0.376811594202899,0.0961936116654836
"X1049",0.260869565217391,0.0869565217391305,0.00384427493736595
"X2265",0.144927536231884,1,0.000234571482057251
"X665",0.304347826086957,0.565217391304348,0.0941157460462392
"X1858",0.304347826086957,0.884057971014493,0.00384673261618449
"X2513",0.536231884057971,0.231884057971014,0.06787841988406
"X3116",0.666666666666667,0.710144927536232,0.153220298228698
"X2472",0.434782608695652,0.985507246376812,0.00139961364908479
"X2076",0.608695652173913,0.420289855072464,0.0853015077975233
"X833",0.318840579710145,0.159420289855072,0.0178139224523176
"X358",0.652173913043478,0.971014492753623,0.00130811956822446
"X4345",0.782608695652174,0.463768115942029,0.180113332145919
"X4518",0.478260869565217,0.63768115942029,0.0867150808399227
"X3733",0.840579710144928,0.376811594202899,0.0250839936585519
"X2376",0.0434782608695652,0.260869565217391,0.0023813139546852
"X4441",0.27536231884058,0.681159420289855,0.0433060927107524
"X2651",0.594202898550725,0.0869565217391305,0.00850168938253475
"X903",0.304347826086957,0.318840579710145,0.0792385007791499
"X2221",0.449275362318841,0.739130434782609,0.18087858826442
"X343",0.507246376811594,0.333333333333333,0.0852579035706498
"X3424",0.115942028985507,0.91304347826087,0.000587162620856116
"X4213",0.768115942028985,0.782608695652174,0.0100609276264117
"X1647",0.623188405797102,0.63768115942029,0.0919385488644609
"X1816",0.753623188405797,0.115942028985507,0.00555504945815795
"X1957",0.0869565217391304,0.72463768115942,0.00310155003050085
"X4862",0.594202898550725,0,0.00224053806825533
"X494",0.869565217391304,0.550724637681159,0.0192311806632708
"X3425",0.347826086956522,0.594202898550725,0.0846984403303729
"X3695",0.666666666666667,0.246376811594203,0.177271202396186
"X3501",0.753623188405797,0.710144927536232,0.0372295284779464
"X3687",0.289855072463768,0.231884057971014,0.0316798099459264
"X2859",0.710144927536232,0.623188405797101,0.0763304783333617
"X3749",0.449275362318841,0.347826086956522,0.0856555799519136
"X2135",0.91304347826087,0.304347826086957,0.00531385796685565
"X1533",0.91304347826087,0.811594202898551,0.00135510987806291
"X1980",0.478260869565217,0.0869565217391305,0.011769143141941
"X2286",0.869565217391304,0.130434782608696,0.0020665203383862
"X3175",0.956521739130435,0.579710144927536,0.00411308956040546
"X2299",0.231884057971014,0.246376811594203,0.0238325392522063
"X4293",0.0144927536231884,0.869565217391304,0.000325538904489508
"X1431",0.869565217391304,0.855072463768116,0.00135713262411963
"X2642",0.0144927536231884,0,0.000105526034171856
"X1821",1,0.289855072463768,0.00151534087053896
"X3716",0.101449275362319,0.36231884057971,0.0105214467450385
"X1699",0.536231884057971,0.681159420289855,0.0779590157614604
"X4054",0.260869565217391,0,0.00119279675047745
"X2417",0.782608695652174,0.159420289855072,0.00781610513673156
"X4657",0.333333333333333,0.507246376811594,0.0852795607038603
"X2436",0.550724637681159,0.942028985507246,0.00268637561346432
"X4137",0.0434782608695652,0.0579710144927536,0.000365842813980294
"X4243",0.594202898550725,0.521739130434783,0.0853855744629955
"X2982",0.289855072463768,0.782608695652174,0.0141534687685994
"X1723",0,0.391304347826087,0.00232504329827538
"X1063",0.420289855072464,0.855072463768116,0.0125988165784132
"X4712",1,0.159420289855072,0.000608701944163218
"X4425",0.072463768115942,0.884057971014493,0.000534589452231092
"X4891",0.0144927536231884,0.173913043478261,0.000835077527676947
"X715",0.594202898550725,0.797101449275362,0.0229596375493831
"X2435",0.333333333333333,0.985507246376812,0.00103002264323248
"X170",0.463768115942029,0.478260869565217,0.085436692916609
"X4725",0.869565217391304,0.623188405797101,0.0111157886232213
"X1203",0.347826086956522,0.434782608695652,0.0856531405092146
"X3681",0.130434782608696,0.72463768115942,0.00538355213869736
"X4229",0.971014492753623,0.72463768115942,0.00142871463635591
"X4754",0.594202898550725,0.36231884057971,0.0860311819161729
"X1928",0.0579710144927536,0.434782608695652,0.0058936085391091
"X1752",0.405797101449275,0.695652173913043,0.0934893819302543
"X4241",0.63768115942029,0.202898550724638,0.0528679623425594
"X1381",0.666666666666667,0.753623188405797,0.0467295042136705
"X2695",0.159420289855072,0.507246376811594,0.0285066125618551
"X4466",0.478260869565217,0.202898550724638,0.0982346975424836
"X2550",0.507246376811594,1,0.00116734197300623
"X4661",0.811594202898551,0.666666666666667,0.01858889601187
"X2512",0.739130434782609,0.318840579710145,0.0587663433263557
"X3100",0.173913043478261,0.246376811594203,0.0124501046851062
"X4676",0.27536231884058,0.971014492753623,0.000940845343718458
"X1508",0,0.971014492753623,3.97946785953579e-05
"X4620",0.434782608695652,0.159420289855072,0.0835973978736319
"X1421",0.898550724637681,0.27536231884058,0.00530065331309366
"X522",0.826086956521739,0.0724637681159421,0.00162189530211132
"X457",0.202898550724638,0.478260869565217,0.0474308982778862
"X3081",0.666666666666667,0.565217391304348,0.082672944883993
"X4223",0.579710144927536,0.173913043478261,0.0335874390670777
"X3647",0.0289855072463768,0.478260869565217,0.00387869508010527
"X4205",1,0.420289855072464,0.00256800980911239
