"","x","y","z"
"X1301",0,0.768115942028985,0.972037427966831
"X1824",0.753623188405797,0.0434782608695652,0.481493040128043
"X2806",0.927536231884058,0.101449275362319,0.18332783950971
"X4448",0.753623188405797,0.710144927536232,0.286850257833413
"X988",0.869565217391304,0.927536231884058,0.268355053494866
"X4398",1,0.289855072463768,0.780023694239156
"X4624",0.666666666666667,0.666666666666667,0.183039714621133
"X3234",0.0579710144927536,0.594202898550725,0.935316892944345
"X3078",0.507246376811594,1,0.14821646364006
"X303",0.246376811594203,0.550724637681159,0.760249991086132
"X1008",0.0289855072463768,0.130434782608696,0.973429990886292
"X864",0.231884057971014,0.507246376811594,1.00615682734904
"X3359",0.797101449275362,0.260869565217391,0.166039662688955
"X1878",0.768115942028985,0.594202898550725,0.178590554100952
"X3762",0.884057971014493,1,0.228809361705135
"X2432",0.811594202898551,0.710144927536232,0.19386777329279
"X3505",0.0579710144927536,0.0289855072463768,0.693328856650324
"X4844",0.478260869565217,0.927536231884058,0.247109665432173
"X1856",0.927536231884058,0.159420289855072,0.174117872889269
"X3795",0.768115942028985,0.695652173913043,0.166373049070662
"X4562",0.202898550724638,0.63768115942029,0.453749817480908
"X1036",0.072463768115942,0.405797101449275,0.936135402488235
"X3179",0.0579710144927536,0.63768115942029,0.900859389372047
"X613",0.91304347826087,0.855072463768116,0.242675376223782
"X1303",0.420289855072464,0.550724637681159,0.644703308560248
"X1883",0.0579710144927536,0.260869565217391,0.879138525105905
"X66",0.811594202898551,0.0579710144927536,0.0514687658242039
"X1864",0.927536231884058,0.942028985507246,0.0115701687943577
"X4238",0.391304347826087,0.855072463768116,0.177356032172136
"X1658",0.376811594202899,0.971014492753623,0.137273576554204
"X2348",0.0289855072463768,0.217391304347826,0.996034719488243
"X2920",0.115942028985507,0.623188405797101,0.819071067688839
"X2403",0.753623188405797,0.217391304347826,0.600128828823402
"X907",0.27536231884058,0.608695652173913,0.426166736861505
"X4026",0.492753623188406,0.27536231884058,0.218393069651037
"X3253",0.0869565217391304,0.333333333333333,0.886829943892469
"X3864",0.594202898550725,0.0869565217391304,0.457889171972772
"X525",0.188405797101449,0.739130434782609,0.0434681383570566
"X3519",0.376811594202899,0.985507246376812,0.033575224611613
"X2000",0.478260869565217,0.782608695652174,0.134431114762273
"X3990",0.550724637681159,0.826086956521739,0.251842233719073
"X3145",1,0.739130434782609,0.928487560614168
"X3804",0.405797101449275,0.884057971014493,0.075269099197929
"X2687",0,0.666666666666667,0.970113594021236
"X2573",0.797101449275362,0.101449275362319,0.369119264751864
"X3833",0.434782608695652,0.420289855072464,0.217909793364525
"X114",0.623188405797101,0.318840579710145,0.158046017610299
"X2316",0.144927536231884,0.478260869565217,0.995452749594222
"X3554",0.289855072463768,0.202898550724638,0.111721175688062
"X3361",0.115942028985507,0.420289855072464,0.886866271154131
"X1301.1",0,0.768115942028985,0.945835493329798
"X1824.1",0.753623188405797,0.0434782608695652,0.419943603820601
"X2806.1",0.927536231884058,0.101449275362319,0.182958683327007
"X4448.1",0.753623188405797,0.710144927536232,0.278201886536625
"X988.1",0.869565217391304,0.927536231884058,0.230665385059438
"X4398.1",1,0.289855072463768,0.846948901274933
"X4624.1",0.666666666666667,0.666666666666667,0.159212501050984
"X3234.1",0.0579710144927536,0.594202898550725,0.946465867483215
"X3078.1",0.507246376811594,1,0.110274605318449
"X303.1",0.246376811594203,0.550724637681159,0.822904075063006
"X1008.1",0.0289855072463768,0.130434782608696,0.919426097934002
"X864.1",0.231884057971014,0.507246376811594,0.99396878413937
"X3359.1",0.797101449275362,0.260869565217391,0.119985410302778
"X1878.1",0.768115942028985,0.594202898550725,0.185359780196914
"X3762.1",0.884057971014493,1,0.215385276620073
"X2432.1",0.811594202898551,0.710144927536232,0.216784781217411
"X3505.1",0.0579710144927536,0.0289855072463768,0.67151544048557
"X4844.1",0.478260869565217,0.927536231884058,0.258260664213761
"X1856.1",0.927536231884058,0.159420289855072,0.112625563437181
"X3795.1",0.768115942028985,0.695652173913043,0.204497375634611
"X4562.1",0.202898550724638,0.63768115942029,0.456948774399287
"X1036.1",0.072463768115942,0.405797101449275,0.940016117922885
"X3179.1",0.0579710144927536,0.63768115942029,0.92275196935402
"X613.1",0.91304347826087,0.855072463768116,0.183445690211981
"X1303.1",0.420289855072464,0.550724637681159,0.641643547248934
"X1883.1",0.0579710144927536,0.260869565217391,0.811924989948024
"X66.1",0.811594202898551,0.0579710144927536,0.0196393252705442
"X1864.1",0.927536231884058,0.942028985507246,0.0979672314575579
"X4238.1",0.391304347826087,0.855072463768116,0.157465299811875
"X1658.1",0.376811594202899,0.971014492753623,0.113501457819292
"X2348.1",0.0289855072463768,0.217391304347826,0.948924428421465
"X2920.1",0.115942028985507,0.623188405797101,0.813939744451734
"X2403.1",0.753623188405797,0.217391304347826,0.55713497489385
"X907.1",0.27536231884058,0.608695652173913,0.386237369954318
"X4026.1",0.492753623188406,0.27536231884058,0.218122162418163
"X3253.1",0.0869565217391304,0.333333333333333,0.830494461598789
"X3864.1",0.594202898550725,0.0869565217391304,0.401867228967242
"X525.1",0.188405797101449,0.739130434782609,-0.0112467904706625
"X3519.1",0.376811594202899,0.985507246376812,0.0155834763674204
"X2000.1",0.478260869565217,0.782608695652174,0.12986954738598
"X3990.1",0.550724637681159,0.826086956521739,0.250256261150193
"X3145.1",1,0.739130434782609,0.98502047871789
"X3804.1",0.405797101449275,0.884057971014493,0.064582565211625
